"refPalme","number","RefID","Journal","Research.area","Title","Population","Animal.Group","RC.","immunoassay","Parallelism.reporting","Parallism.reporting.comments","Graph","Graph.type","Graph.alignment","Graph.comments","Stats","Stats.type","Stats.reported","Other.stats.info.to.extract.","DilutionLin","If.yes..what.is.reported.","Trouble.shooting","Solutions","Stats.group","Stats.group.KF","Stats.quality","Stats.notes","Interpretation"
"1860",120,"https://doi.org/10.3389/fnbeh.2022.1062864","Frontiers in Behavioral Neuroscience","Behavioral & Welfare Science","Exposure to soiled bedding reduces abnormal repetitive behaviors in mice. ","Laboratory Animals","Rodentia","-","EIA","Prev","Methods for analysis of fecal samples are explained in supplementary mat. No mention of validation, but authors cite a previous paper for the EIA used in mice: ""FCMs were measured with a 5α-pregnane-3β, 11β, 21-triol-20-one enzyme immunoassay (EIA) (Touma et al., 2003)."" Touma, C., Palme, R., and Sachser, N. (2004). Analyzing corticosterone metabolites in fecal samples of mice: A noninvasive technique to monitor stress hormones. Hormones Behav. 45, 10–22.","","","","","","","","","","","",NA,"No stats","","","",""
"1898",121,"https://doi.org/10.1002/ece3.8927","Ecology and Evolution","Ecology & Conservation","Is negative density‐dependent reproduction regulated by density‐induced stress in root voles? Two field experiments.","Wildlife","Rodentia","-","FIA (fluoresence)","Prev","the authors cite a paper from Yang et al. 2018 (https://doi.org/10.1111/1365-2435.13129) that previously validated the methods for FCM in the species. That paper however report in turn another preivous study for validation. All these papers used a flourescence assay. ","","","","","","","","","","","",NA,"No stats","","","",""
"1897",122,"https://doi.org/10.1016/j.ygcen.2022.113990","General and Comparative Endocrinology","Ecology & Conservation"," Sex-specific links between the social landscape and faecal glucocorticoid metabolites in semi-captive Asian elephants ","Wildlife","Proboscidea","-","EIA","Prev","The indicated the assay was previously validated by Watson et al 2013 (https://doi.org/10.1016/j.ygcen.2013.02.001) - I cant access this paper at this moment to check","","","","","","","","","","","",NA,"No stats","","","",""
"1896",123,"https://doi.org/10.1016/j.beproc.2022.104662","Behavioural processes,","Behavioral & Welfare Science"," How environmental conditions affect sleep? An investigation in domestic dogs (Canis lupus familiaris) ","Domestic Animals","Carnivora","-","EIA","Prev","Assay previously validated in dogs (Schatz & Palme, 2001 https://doi.org/10.1023/A:1010626608498- I cant access this paper at this moment to check","","","","","","","","","","","",NA,"No stats","","","",""
"1895",124,"https://doi.org/10.3390/ruminants2020010","Ruminants","Behavioral & Welfare Science","Physiological and behavioral reactions of simmental dairy cows to increasing heat load on pasture.","Domestic Animals","Artiodactyla","-","EIA","Prev","Assay previously validatated in Palme et al. 1999 (https://www.cabidigitallibrary.org/doi/full/10.5555/19992212797)","","","","","","","","","","","",NA,"No stats","","","",""
"1861",125,"https://doi.org/10.1016/j.bbr.2022.113963","Behavioural Brain Research","Neuroscience & Biomedical Research","The anxiogenic effects of adolescent psychological stress in male and female mice.","Laboratory Animals","Rodentia","-","EIA","No","Authors only mention the commercial EIA kit used. Looking at info of the kit, it says that it's a kit validated for ""the quantification of corticosterone in serum and rodent feces"", but only CV is reported.

","","","","","","","","","","","",NA,"No stats","","","",""
"1863",126,"https://doi.org/10.14202/vetworld.2022.647-654","Veterinary World","Reproduction & Physiology","Study of fecal glucocorticoid metabolites in captive Asian elephants in Kanchanaburi. ","Wildlife","Proboscidea","-","EIA","Prev","...measured using a single antibody competitive EIA with a polyclonal rabbit anti-corticosterone antibody (CJM006; 25 μL, 1:20,000 dilution), which has been validated for Asian elephants [33]. 
","","","","","","","","","","","",NA,"No stats","","","",""
"1865",127,"https://doi.org/10.17236/sat00373","Schw. Archiv. Tierheilkd. ","Reproduction & Physiology","Messung von Herzfrequenzen und Kotcortisolmetaboliten bei Pferden am Zürcher Sechseläuten. ","Domestic Animals","Perissodactyla","-","EIA","Prev","Paper published in German","","","","","","","","","","","",NA,"No stats","","","",""
"1867",129,"https://doi.org/10.1016/j.yhbeh.2022.105152","Hormones and Behavior","Reproduction & Physiology","Sex, not social behavior, predicts fecal glucocorticoid metabolite concentrations in a facultatively social rodent, the highland tuco-tuco (Ctenomys opimus).","Wildlife","Rodentia","SerDil ","EIA","Yes","Parallelism test is explained in the methods and results reported in ""3.2. Biochemical validation "" : 
The logit-transformed slopes for serial dilutions of pooled fecal samples did not differ from those for kit standards for either pre- or postACTH injection samples (ANCOVA, F2,18 = 2.70, P = 0.09, ηp 2 = 0.23; Fig. 1b), providing no evidence that detection of glucocorticoids differed between kit standards and fecal samples collected from the highland tuco-tucos. 

","Y","log-logit plot","logit percent bound at y-axis vs dilution (8x to 1x) at x-axis","logit-transformed slopes for 8 pooled, serially diluted samples collected pre- and post-injection with ACTH are compared with the slope for kit standards. ","Y","ANCOVA","f, p value and ηp2","","N","","",NA,"Equality of slopes","Equality of slopes","Fine","""Parallelism between fGCm concentrations for serially diluted samples and kit standards was assessed using ANCOVAs. The logit-transformed slopes for serial dilutions of pooled fecal samples did not differ from those for kit standards for either pre- or post-ACTH injection samples (ANCOVA, F2,18 = 2.70, P = 0.09, ηp2 = 0.23; Fig. 1b), providing no evidence that detection of glucocorticoids differed between kit standards and fecal samples collected from the highland tuco-tucos.",""
"1870",130,"https://doi.org/10.1093/jas/skac040","Journal of Animal Science","Behavioral & Welfare Science","Cattle acclimate more substantially to repeated handling when confined individually in a pen than when assessed as a group.","Domestic Animals","Artiodactyla","-","RIA","No","No validation mentioned, only: ""Samples obtained were analyzed in duplicate for cortisol metabolites using the Siemens Coat-A-Count Cortisol Radioimmunoassay (Siemens Medical Solutions Diagnostics, Los Angeles, CA, USA) according to manufacturer’s instructions.""","","","","","","","","","","","",NA,"No stats","","","",""
"1871",131,"https://doi.org/10.1038/s42003-022-03574-8","Communications Biology volume","Ecology & Conservation","Social support correlates with glucocorticoid concentrations in wild African elephant orphans.","Wildlife","Proboscidea","-","EIA","Prev","fGCM concentrations were measured with a double-antibody enzyme EIA containing polyclonal rabbit anti-corticosterone antibody (CJM006), validated for elephant fecal samples60,61.","","","","","","","","","","","",NA,"No stats","","","",""
"1873",132,"https://doi.org/10.3390/ani12040457","Animals","Veterinary & Clinical Sciences","Evaluation of stress accompanying immunocontraceptive vaccination in donkeys.","Domestic Animals","Perissodactyla","SerDil/added standard","EIA","Yes","Authors report that ""commercial enzymeimmuno-assay (EIA) kit (Arbor Assay, K003-H5; Ann Arbor, MI, USA) validated for use with donkey feces"",  and additionally they conduct a validation in the study: ""Validation (spike/recovery and parallelism) of the EIA kit was conducted using donkey feces collected in the morning and afternoon from control male (n = 2) and female (n = 2) donkeys. .... To assess parallelism, a fecal sample collected in the morning from a control male was extracted as described and subsequently diluted (1×, 2×, 4×) with assay buffer and analyzed.  ""","Y","sigmoid curve (x-axis log transformed)","Center at 50% binding","x axis  - log of hormone concentration","Y","Descriptive stats-CV","","Visually, various dilutions paralleled the cortisol reference standard curve with an overall CV of 21.2% that encompassed the range of dilutio","N","","",NA,"Descriptive","??","Vague","!! Reported CV, but not sure how CV was calculated",""
"1874",133,"https://doi.org/10.1038/s41598-022-06359-5","Scientific Reports ","Ecology & Conservation","Glucocorticoids coordinate changes in gut microbiome composition in wild North American red squirrels. ","Wildlife","Rodentia","-","EIA","Prev","Assay previously validated for the species: ""The supernatant was then used in an enzymeimmunoassay that employed an antibody that measures GC metabolites with a 5α-3β,11β-diol structure91. We have previously validated this assay and shown that the antibody can accurately measure increases in adrenal production of GCs49.
Reference:
Dantzer, B. et al. Fecal cortisol metabolite levels in free-ranging North American red squirrels: Assay validation and the effects of reproductive condition. Gen. Comp. Endocrinol. 167, 279–286 (2010).","","","","","","","","","","","",NA,"No stats","","","",""
"1875",134,"https://doi.org/10.1016/j.yhbeh.2022.105262","Hormones and Behavior","Ecology & Conservation","The glucocorticoid response to environmental change is not specific to agents of natural selection in wild red squirrels. ","Wildlife","Rodentia","-","EIA","No","In this paper the authors don't mention the extraction protocol, EIA used or validation, and no reference is directly used to reference this. However, the same authors have another 2022 paper on  the species where this info is mentioned and the EIA used is validated by the same authors in a 2010 paper.... ","","","","","","","","","","","",NA,"No stats","","","",""
"1878",135,"https://doi.org/10.3389/fevo.2022.1065966","Frontiers in Ecology and Evolution","Ecology & Conservation","Effect of chronic traffic noise on behavior and physiology of plateau pikas (Ochotona curzoniae).","Wildlife","Rodentia","-","EIA","No","Validation as such is not mentioned, only sensitivity and CV inter and intra. 
""Fecal CORT was measured using rabbit cortisol enzyme-linked immunosorbent assay kit following the operation manual (Shanghai DUMA Biotechnology Co., Ltd., China).  The assay sensitivity was 1.0ng/ml with the degree of confidence above 99.8%. The intra-and inter-assay
coefficients of variance were 10.3 and 6.8%, respectively.""","","","","","","","","","","","",NA,"No stats","","","",""
"1879",136,"https://doi.org/10.3390/ani12111410","Animals","Reproduction & Physiology","Impact of indigestible materials on the efficiency of fecal corticosterone immunoassay testing in Pituophis species. ","Wildlife","Serpentes","SerDil/added standard","EIA","No","Validation is not mentioned, only inter and intra CV and limit of detection.","","","","","","","","","","","",NA,"No stats","","","",""
"1881",137,"https://doi.org/10.1016/j.nlm.2022.107649","Neurobiology of Learning and Memory","Neuroscience & Biomedical Research","Sex-dependent effects of chronic microdrive implantation on acquisition of trace eyeblink conditioning. ","Laboratory Animals","Rodentia","-","EIA","No","No validation is mentioned. Methods: ""Samples were diluted 1:20 with Assay Buffer then run on the DetectX Corticosterone Enzyme Immunoassay Kit in the 50 μL format according to the Arbor Assay Protocol. ""","","","","","","","","","","","",NA,"No stats","","","",""
"1882",138,"https://doi.org/10.1038/s41598-022-06395-1","Scientific Reports","Behavioral & Welfare Science","Development of behavioral patterns in young C57BL/6J mice: a home cage-based study. ","Laboratory Animals","Rodentia","-","EIA","Prev","Validation is mentioned in supplementary materials: ""The samples were analyzed using a 5-pregnane-3,11,21-triol-20-one enzyme immunoassay, which has been established and fully validated for the measurement of fecal corticosterone metabolites in mice2,3""
.","","","","","","","","","","","",NA,"No stats","","","",""
"1883",139,"https://doi.org/10.3389/fnbeh.2022.877094","Frontiers in Behavioral Neuroscience","Neuroscience & Biomedical Research","Phenotyping young GluA1 deficient mice – a behavioral characterization in a genetic loss-of-function model","Laboratory Animals","Rodentia","-","EIA","Prev","Validation is mentioned in supplementary materials: 
The samples were analyzed using a 5-pregnane-3,11,21-triol-20-one enzyme immunoassay, which has been established and fully validated for the measurement of fecal corticosterone metabolites in mice (Touma, Palme, & Sachser, 2004; Touma, Sachser, Möstl, & Palme, 2003).","","","","","","","","","","","",NA,"No stats","","","",""
"1884",140,"https://doi.org/10.1016/j.yebeh.2022.108903","Epilepsy & Behavior","Neuroscience & Biomedical Research","Behavioral phenotyping of young Scn1a haploinsufficient mice","Laboratory Animals","Rodentia","-","EIA","Prev","Validation is mentioned in supplementary materials: 
Analysis was carried out with a 5-pregnane-3,11,21-triol-20-one enzyme immunoassay, which has been established and validated for use in mice [3, 4].","","","","","","","","","","","",NA,"No stats","","","",""
"1893",141,"https://doi.org/10.1098/rspb.2022.1022","Proceedings of the Royal Society B: Biological Sciences","Ecology & Conservation","Native species exhibit physiological habituation to invaders: a reason for hope.","Wildlife","Rodentia","-","EIA","Prev","For validation of EIA they cite previous research: Bertolino et al. 2014(https://doi.org/10.1007/s10530-013-0502-3) and Dantzer et al. 2016 (https://doi.org/10.1093/jmammal/gyw095)","","","","","","","","","","","",NA,"No stats","","","",""
"1888",142,"https://doi.org/10.3390/ani12010082","Animals","Neuroscience & Biomedical Research","Corticosterone metabolite concentration is not related to problem solving in the fawn-footed mosaic-tailed rat Melomys cervinipes","Wildlife","Rodentia","SerDil + added standard","EIA","No","They perforemed biological validation but no mention of parallelism. They cite Sullivan et al 2019 (https://doi.org/10.1016/j.neulet.2019.01.048 ) in relation to cross-reactivities of corticosterone antibodies ","","","","","","","","","","","",NA,"No stats","","","",""
"1886",143,"https://doi.org/10.3390/ani12233379","Animals","Behavioral & Welfare Science","The effect of transportation on puppy welfare from commercial breeding kennels to a distributor.","Domestic Animals","Carnivora","-","EIA","No","No mention of validation or parallelism. Only report inter-assays CVs and cross-reactivities of the assay","","","","","","","","","","","",NA,"No stats","","","",""
"1887",144,"https://doi.org/10.1016/j.yhbeh.2022.105111","Hormones and Behavior","Behavioral & Welfare Science","Territorial scent-marking effects on vigilance behavior, space use, and stress in female Columbian ground squirrels. ","Wildlife","Rodentia","-","EIA","Prev","Previously validated for the species in Bosson et al. 2009 (https://www.journals.uchicago.edu/doi/10.1086/597530)","","","","","","","","","","","",NA,"No stats","","","",""
"1892",145,"https://doi.org/10.1016/j.yhbeh.2022.105127","Hormones and Behavior","Ecology & Conservation","Invasive alien species as an environmental stressor and its effects on coping style in a native competitor, the Eurasian red squirrel","Wildlife","Rodentia","-","EIA","Prev","Validation is referred to previous studies (Dantzer et al. 2016 https://doi.org/10.1093/jmammal/gyw095, Santicchia et al. 2018 https://doi.org/10.1111/1365-2656.12853)","","","","","","","","","","","",NA,"No stats","","","",""
"1894",146,"https://doi.org/10.1080/10888705.2021.1968863","Journal of Applied Animal Welfare Science","Behavioral & Welfare Science","Welfare improvement by enrichment programs in common marmoset females under social isolation.","Wildlife","Primates","-","EIA","Prev","Not clear if the papers they referred to conducted validation on the same species. (Sousa and Ziegler 1998 (https://doi.org/10.1002/(SICI)1098-2345(1998)46:2%3C105::AID-AJP1%3E3.0.CO;2-%23), Castro and Sousa 2005(10.1590/s0100-879x2005000100011)).","","","","","","","","","","","",NA,"No stats","","","",""
